,station1,station2,station3,station4,station5,station6,station7,station8,station9,station10,station11,station12,station13,station14
2019/5/2 1:00,1,0,4,0,0,1,0,1,3,0,1,1,0,9
2019/5/2 1:05,2,2,2,0,0,0,0,0,6,0,0,0,0,9
2019/5/2 1:10,0,2,2,0,0,1,0,0,9,0,1,0,0,6
2019/5/2 1:15,1,5,0,0,0,1,3,0,6,1,0,2,0,6
2019/5/2 1:20,0,3,2,0,0,0,1,0,7,0,1,2,0,7
2019/5/2 1:25,3,6,0,1,1,1,1,1,7,0,1,0,0,5
2019/5/2 1:30,1,6,1,0,1,0,0,0,9,0,1,1,0,2
2019/5/2 1:35,0,1,4,0,1,0,1,0,4,0,2,2,0,7
2019/5/2 1:40,0,4,2,0,0,1,1,0,3,0,0,0,1,3
2019/5/2 1:45,0,5,1,0,0,1,5,0,5,0,0,1,0,2
2019/5/2 1:50,0,2,1,0,1,1,2,0,5,0,1,1,0,6
2019/5/2 1:55,0,3,4,0,0,2,0,0,7,0,0,0,0,4
2019/5/2 2:00,0,1,1,1,1,0,0,0,6,0,0,0,0,5
2019/5/2 2:05,1,2,2,0,0,1,2,0,11,0,0,0,1,8
2019/5/2 2:10,0,3,1,0,0,1,2,2,8,1,1,1,0,10
2019/5/2 2:15,0,4,3,0,0,4,0,0,1,0,0,1,0,4
2019/5/2 2:20,1,1,3,0,1,1,1,0,5,0,1,1,0,2
2019/5/2 2:25,1,1,6,0,0,2,0,0,1,1,1,1,0,4
2019/5/2 2:30,2,0,3,0,1,1,4,0,7,0,0,0,0,11
2019/5/2 2:35,2,4,2,0,0,2,1,0,5,0,0,0,0,3
2019/5/2 2:40,3,5,1,0,1,0,0,0,5,0,0,0,0,8
2019/5/2 2:45,2,0,3,0,1,1,0,0,5,0,0,1,0,6
2019/5/2 2:50,1,0,4,0,0,0,1,1,7,0,1,2,0,7
2019/5/2 2:55,1,0,2,0,0,0,1,0,6,0,0,0,0,3
2019/5/2 3:00,1,2,4,0,0,0,0,2,9,1,0,0,0,4
2019/5/2 3:05,0,5,5,1,0,1,1,0,6,0,1,0,0,5
2019/5/2 3:10,2,0,4,0,0,0,4,0,3,0,0,0,0,6
2019/5/2 3:15,1,6,3,0,0,0,3,0,3,1,1,0,0,5
2019/5/2 3:20,0,2,2,0,0,0,1,0,5,0,0,0,0,6
2019/5/2 3:25,1,1,1,0,0,1,1,0,7,0,0,0,0,3
2019/5/2 3:30,2,1,0,0,0,1,4,0,6,0,0,1,1,5
2019/5/2 3:35,2,3,3,0,0,1,0,0,6,1,1,0,0,5
2019/5/2 3:40,0,2,2,0,0,2,1,0,1,0,1,1,0,4
2019/5/2 3:45,1,1,5,0,0,0,2,0,5,0,0,0,0,6
2019/5/2 3:50,3,3,2,0,0,1,1,0,6,0,1,1,0,7
2019/5/2 3:55,1,1,2,1,0,1,4,0,5,0,0,1,0,10
2019/5/2 4:00,1,1,1,0,0,0,2,0,0,0,1,1,0,6
2019/5/2 4:05,0,4,2,0,0,0,4,0,7,0,0,0,0,9
2019/5/2 4:10,2,1,1,1,0,0,1,0,2,0,0,2,1,4
2019/5/2 4:15,0,2,0,0,0,0,4,1,2,0,0,1,1,7
2019/5/2 4:20,1,6,4,0,0,0,2,0,3,0,2,1,0,6
2019/5/2 4:25,1,4,2,0,0,0,1,0,7,0,0,0,4,9
2019/5/2 4:30,0,3,1,0,0,0,1,2,5,0,0,0,1,9
2019/5/2 4:35,0,3,2,0,1,0,1,1,2,0,0,1,0,5
2019/5/2 4:40,2,2,1,0,0,0,1,0,4,0,0,0,0,5
2019/5/2 4:45,1,1,2,0,0,0,2,0,2,1,0,1,0,4
2019/5/2 4:50,0,1,2,0,1,2,2,0,3,0,0,1,1,1
2019/5/2 4:55,1,6,1,0,0,0,0,0,1,0,0,1,0,5
2019/5/2 5:00,0,2,3,0,0,0,1,0,1,0,1,1,0,4
2019/5/2 5:05,2,0,2,1,0,1,1,1,3,0,0,0,0,6
2019/5/2 5:10,1,3,0,1,0,0,0,1,3,0,1,1,1,5
2019/5/2 5:15,0,3,2,0,0,1,2,0,3,0,0,1,0,6
2019/5/2 5:20,2,4,4,1,0,1,0,0,4,0,0,0,1,4
2019/5/2 5:25,0,2,3,0,0,0,1,0,0,0,0,2,2,5
